Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0029583,2023-03-22,2023-03-22,"Snow White and the Seven Dwarfs is a 1937 American animated musical fantasy film produced by Walt Disney Productions and released by RKO Radio Pictures. Based on the 1812 German fairy tale by the Brothers Grimm, it is the first full-length traditionally animated Disney movie","Snow White and the Seven Dwarfs","Snow White and the Seven Dwarfs",https://www.imdb.com/title/tt0029583/,Movie,7.6,83,1937,"Animation, Adventure, Family, Fantasy, Musical, Romance",229795,1938-02-04,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen"
2,tt0032910,2023-03-22,2023-03-22,"Snow White and the Seven Dwarfs is a 1937 American animated musical fantasy film produced by Walt Disney Productions and released by RKO Radio Pictures. Based on the 1812 German fairy tale by the Brothers Grimm, it is the first full-length traditionally animated","Pinocchio","Pinocchio",https://www.imdb.com/title/tt0032910/,Movie,7.5,88,1940,"Animation, Adventure, Comedy, Family, Fantasy, Musical",166304,1940-02-23,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen"
3,tt0032455,2023-03-22,2023-03-22,"Fantasia is a 1940 American animated musical anthology film produced and released by Walt Disney Productions, with story direction by Joe Grant and Dick Huemer and production supervision by Walt Disney and Ben Sharpsteen","Fantasia","Fantasia",https://www.imdb.com/title/tt0032455/,Movie,7.7,124,1940,"Animation, Family, Fantasy, Music, Musical",107721,1941-09-19,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen"
4,tt0033563,2023-03-22,2023-03-22,"Dumbo is a 1941 American animated fantasy film produced by Walt Disney Productions and released by RKO Radio Pictures. The fourth Disney animated feature film, it is based upon the storyline written by Helen Aberson and Harold Pearl","Dumbo","Dumbo",https://www.imdb.com/title/tt0033563/,Movie,7.2,64,1941,"Animation, Adventure, Drama, Family, Fantasy, Musical",146826,1941-10-31,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen"
5,tt0034492,2023-03-22,2023-03-22,"Bambi is a 1942 American animated drama film directed by David Hand, produced by Walt Disney and based on the 1923 book Bambi, a Life in the Woods by Austrian author and hunter Felix Salten","Bambi","Bambi",https://www.imdb.com/title/tt0034492/,Movie,7.3,69,1942,"Animation, Adventure, Drama, Family",159630,1942-08-21,"James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi"
6,tt0038166,2023-03-22,2023-03-22,"The Three Caballeros is a 1944 American live-action/animated musical anthology film produced by Walt Disney and released by RKO Radio Pictures. The film premiered in Mexico City on December 21, 1944. It was released in the United States on February 3, 1945","The Three Caballeros","The Three Caballeros",https://www.imdb.com/title/tt0038166/,Movie,6.3,71,1944,"Animation, Comedy, Family, Fantasy, Musical",16342,1945-02-22,"Norman Ferguson, Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young"
7,tt0038718,2023-03-22,2023-03-22,"Make Mine Music is a 1946 American animated musical anthology film produced by Walt Disney and released by RKO Radio Pictures. It is the eighth Disney feature animated film","Make Mine Music","Make Mine Music",https://www.imdb.com/title/tt0038718/,Movie,6.1,75,1946,"Animation, Adventure, Comedy, Family, Musical",5243,1946-08-15,"Robert Cormack, Clyde Geronimi, Jack Kinney, Hamilton Luske, Joshua Meador"
8,tt0039404,2023-03-22,2023-03-22,"Fun and Fancy Free is a 1947 American animated musical fantasy package film produced by Walt Disney and released on September 27, 1947 by RKO Radio Pictures. It is the ninth Disney animated feature film","Fun and Fancy Free","Fun & Fancy Free",https://www.imdb.com/title/tt0039404/,Movie,6.3,73,1947,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",9979,1948-03-12,"Jack Kinney, Hamilton Luske, William Morgan, Bill Roberts"
9,tt0040580,2023-03-22,2023-03-22,"Melody Time is a 1948 American live-action/animated musical anthology film produced by Walt Disney. The tenth Disney animated feature film, it was released to theatres by RKO Radio Pictures on May 27, 1948. Made up of seven segments set to popular music and folk music","Melody Time","Melody Time",https://www.imdb.com/title/tt0040580/,Movie,6.1,75,1948,"Animation, Comedy, Family, Musical",7384,1948-05-27,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske"
10,tt0041094,2023-03-22,2023-03-22,"The Adventures of Ichabod and Mr. Toad is a 1949 American animated anthology film produced by Walt Disney Productions, released by RKO Radio Pictures and directed by Clyde Geronimi, Jack Kinney and James Algar with Ben Sharpsteen as production supervisor. The 11th animated film in the Disney Animation canon, it consists of two segments: the first based on the 1908 children's novel The Wind in the Willows by British author Kenneth Grahame, and the second based on the 1820 short story The Legend of Sleepy Hollow by American author Washington Irving.","The Adventures of Ichabod and Mr. Toad","The Adventures of Ichabod and Mr. Toad",https://www.imdb.com/title/tt0041094/,Movie,6.8,68,1949,"Animation, Comedy, Family, Fantasy, Horror",19003,1950-01-06,"James Algar, Clyde Geronimi, Jack Kinney"
