Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
11,tt0042332,2023-03-22,2023-03-22,"Cinderella is a 1950 American animated musical fantasy film produced by Walt Disney Productions and released by RKO Radio Pictures. Based on Charles Perrault's 1697 fairy tale of the same title, it is the 12th Disney animated feature film. The film was directed by Wilfred Jackson","Cinderella","Cinderella",https://www.imdb.com/title/tt0042332/,Movie,7.3,74,1950,"Animation, Family, Fantasy, Musical, Romance",180674,1950-03-04,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
12,tt0043274,2023-03-22,2023-03-22,"Alice in Wonderland is a 1951 American animated musical fantasy comedy film produced by Walt Disney Productions and based on the Alice books by Lewis Carroll. The thirteenth release of Disney's animated features, the film premiered in London on July 26, 1951","Alice in Wonderland","Alice in Wonderland",https://www.imdb.com/title/tt0043274/,Movie,7.3,75,1951,"Animation, Adventure, Comedy, Family, Fantasy, Musical",160305,1951-07-28,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney"
13,tt0046183,2023-03-22,2023-03-22,"Peter Pan is a 1953 American animated adventure fantasy film produced in 1952 by Walt Disney Productions and released by RKO Radio Pictures. Based on J. M. Barrie's 1904 play Peter Pan, or the Boy Who Wouldn't Grow Up","Peter Pan","Peter Pan",https://www.imdb.com/title/tt0046183/,Movie,7.3,77,1953,"Animation, Adventure, Family, Fantasy, Musical",159385,1953-02-05,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney"
14,tt0048280,2023-03-22,2023-03-22,"Lady and the Tramp is a 1955 American animated musical romance film produced by Walt Disney and released by Buena Vista Film Distribution. The 15th Disney animated feature film, it was directed by Clyde Geronimi, Wilfred Jackson, and Hamilton Luske","Lady and the Tramp","Lady and the Tramp",https://www.imdb.com/title/tt0048280/,Movie,7.3,76,1955,"Animation, Adventure, Comedy, Family, Musical, Romance",155146,1955-06-22,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Cutting"
15,tt0053285,2023-03-22,2023-03-22,"Sleeping Beauty is a 1959 American animated musical fantasy film produced by Walt Disney Productions and released by Buena Vista Distribution. Based on Charles Perrault's 1697 fairy tale of the same title, it is the 16th Disney animated feature film.","Sleeping Beauty","Sleeping Beauty",https://www.imdb.com/title/tt0053285/,Movie,7.2,75,1959,"Animation, Adventure, Family, Fantasy, Musical, Romance",166617,1959-01-29,"Les Clark, Clyde Geronimi, Eric Larson, Wolfgang Reitherman, Hamilton Luske"
16,tt0055254,2023-03-22,2023-03-22,"One Hundred and One Dalmatians is a 1961 American animated adventure comedy film produced by Walt Disney Productions and based on the 1956 novel The Hundred and One Dalmatians by Dodie Smith","One Hundred and One Dalmatians","One Hundred and One Dalmatians",https://www.imdb.com/title/tt0055254/,Movie,7.3,79,1961,"Animation, Adventure, Comedy, Family",189365,1961-01-25,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman"
17,tt0057546,2023-03-22,2023-03-22,"The Sword in the Stone is a 1963 American animated musical fantasy comedy film produced by Walt Disney and released by Buena Vista Distribution. The 18th Disney animated feature film, it is based on the novel of the same name by T. H. White, first published in 1938","The Sword in the Stone","The Sword in the Stone",https://www.imdb.com/title/tt0057546/,Movie,7.1,79,1963,"Animation, Adventure, Comedy, Family, Fantasy, Musical",110317,1964-06-21,"Wolfgang Reitherman, Clyde Geronimi, David Hand"
18,tt0061852,2023-03-22,2023-03-22,"The Jungle Book is a 1967 American animated musical comedy film produced by Walt Disney Productions. Based on Rudyard Kipling's 1894 book of the same title, it is the 19th Disney animated feature film. Directed by Wolfgang Reitherman, it is the final Disney animated film to be produced by Walt Disney, who died during its production, and the first Disney animated film to be released after his death.","The Jungle Book","The Jungle Book",https://www.imdb.com/title/tt0061852/,Movie,7.6,78,1967,"Animation, Adventure, Comedy, Family, Musical",206013,1967-10-18,"Wolfgang Reitherman"
19,tt0065421,2023-03-22,2023-03-22,"The Aristocats is a 1970 American animated romantic musical comedy film produced by Walt Disney Productions and directed by Wolfgang Reitherman. It is the final Disney animated film to be involved with Walt Disney Productions's co-founder Roy O. Disney before his death on December 20, 1971.","The Aristocats","The AristoCats",https://www.imdb.com/title/tt0065421/,Movie,7.1,78,1970,"Animation, Adventure, Comedy, Family, Musical",119809,1970-12-24,"Wolfgang Reitherman"
20,tt0070608,2023-03-22,2023-03-22,"Robin Hood is a 1973 American animated musical adventure comedy film produced by Walt Disney Productions and released by Buena Vista Distribution. Produced and directed by Wolfgang Reitherman, it is the 21st Disney animated feature film. Based on the English folk tale of the same name, the story follows the adventures of Robin Hood, Little John, and the inhabitants of Nottingham as they fight against the excessive taxation of Prince John, and Robin Hood wins the hand of Maid Marian","Robin Hood","Robin Hood",https://www.imdb.com/title/tt0070608/,Movie,7.5,83,1973,"Animation, Adventure, Comedy, Family, Musical, Romance",144360,1973-11-08,"Wolfgang Reitherman, David Hand"
21,tt0076363,2023-03-22,2023-03-22,"The Many Adventures of Winnie the Pooh is a 1977 American animated musical anthology comedy film produced by Walt Disney Productions and distributed by Buena Vista Distribution.","The Many Adventures of Winnie the Pooh","The Many Adventures of Winnie the Pooh",https://www.imdb.com/title/tt0076363/,Movie,7.5,74,1977,"Animation, Comedy, Family, Musical",41204,1977-04-24,"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen"
22,tt0076618,2023-03-22,2023-03-22,"The Rescuers is a 1977 American animated adventure comedy-drama film produced by Walt Disney Productions and released by Buena Vista Distribution. The 23rd Disney animated feature film","The Rescuers","The Rescuers",https://www.imdb.com/title/tt0076618/,Movie,6.9,77,1977,"Animation, Adventure, Comedy, Family, Fantasy",72538,1977-06-22,"John Lounsbery, Wolfgang Reitherman, Art Stevens"
23,tt0082406,2023-03-22,2023-03-22,"The Fox and the Hound is a 1981 American animated buddy drama film produced by Walt Disney Productions and loosely based on the 1967 novel of the same name by Daniel P. Mannix.","The Fox and the Hound","The Fox and the Hound",https://www.imdb.com/title/tt0082406/,Movie,7.2,83,1981,"Animation, Adventure, Drama, Family",106126,1981-07-10,"Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman"
24,tt0088814,2023-03-22,2023-03-22,"The Black Cauldron is a 1985 American animated dark fantasy adventure film produced by Walt Disney Productions in association with Silver Screen Partners II and released by Walt Disney Pictures.","The Black Cauldron","The Black Cauldron",https://www.imdb.com/title/tt0088814/,Movie,6.3,80,1985,"Animation, Action, Adventure, Family, Fantasy",42959,1985-07-24,"Ted Berman, Richard Rich"
25,tt0091149,2023-03-22,2023-03-22,"The Great Mouse Detective is a 1986 American animated mystery adventure film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 26th Disney animated feature film, the film was directed by John Musker, Ron Clements, Dave Michener, and Burny Mattinson.","The Great Mouse Detective","The Great Mouse Detective",https://www.imdb.com/title/tt0091149/,Movie,7.1,74,1986,"Animation, Adventure, Family, Musical, Mystery",56656,1986-07-02,"Ron Clements, Burny Mattinson, Dave Michener, John Musker"
26,tt0092695,2023-03-22,2023-03-22,"The Brave Little Toaster is a 1987 American animated musical film directed by Jerry Rees. It is based on the 1980 novella of the same name by Thomas M. Disch.","The Brave Little Toaster","The Brave Little Toaster",https://www.imdb.com/title/tt0092695/,Movie,7.2,90,1987,"Animation, Adventure, Family, Fantasy, Musical",28552,1987-07-10,"Jerry Rees"
27,tt0095776,2023-03-22,2023-03-22,"Oliver & Company is a 1988 American animated musical adventure film produced by Walt Disney Feature Animation and released on November 18, 1988, by Walt Disney Pictures. The 27th Disney animated feature film, it is loosely based on the Charles Dickens novel Oliver Twist","Oliver & Company","Oliver & Company",https://www.imdb.com/title/tt0095776/,Movie,6.6,74,1988,"Animation, Adventure, Comedy, Family, Musical",54997,1988-11-18,"George Scribner"
28,tt0097757,2023-03-22,2023-03-22,"The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 28th Disney animated feature film, it is loosely based on the 1837 Danish fairy tale of the same name by Hans Christian Anderson","The Little Mermaid","The Little Mermaid",https://www.imdb.com/title/tt0097757/,Movie,7.6,83,1989,"Animation, Adventure, Family, Fantasy, Musical, Romance",301554,1989-11-17,"Ron Clements, John Musker"
29,tt0099472,2023-03-22,2023-03-22,"DuckTales the Movie: Treasure of the Lost Lamp is a 1990 American animated adventure fantasy film based on the animated television series DuckTales. Produced and directed by Bob Hathcock and from a screenplay by Alan Burnett","DuckTales the Movie: Treasure of the Lost Lamp","DuckTales: The Movie - Treasure of the Lost Lamp",https://www.imdb.com/title/tt0099472/,Movie,6.8,74,1990,"Animation, Adventure, Comedy, Family, Fantasy",29557,1990-08-03,"Bob Hathcock"
30,tt0100477,2023-03-22,2023-03-22,"The Rescuers Down Under is a 1990 American animated adventure film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 29th Disney animated feature film and the second movie to be produced during the Disney Renaissance","The Rescuers Down Under","The Rescuers Down Under",https://www.imdb.com/title/tt0100477/,Movie,6.8,77,1990,"Animation, Adventure, Comedy, Family, Fantasy",49180,1990-11-16,"Hendel Butoy, Mike Gabriel"
31,tt0101414,2023-03-22,2023-03-22,"Beauty and the Beast is a 1991 American animated musical romantic fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 30th Disney animated feature film and the third released during the Disney Renaissance period","Beauty and the Beast","Beauty and the Beast",https://www.imdb.com/title/tt0101414/,Movie,8.0,84,1991,"Animation, Family, Fantasy, Musical, Romance",492368,1991-11-22,"Gary Trousdale, Kirk Wise"
32,tt0103639,2023-03-22,2023-03-22,"Aladdin is a 1992 American animated musical fantasy comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 31st Disney animated feature film and the fourth produced during the Disney Renaissance, it is based on the Arabic folktale of the same name from the One Thousand and One Nights. The film was produced and directed by John Musker and Ron Clements ","Aladdin","Aladdin",https://www.imdb.com/title/tt0103639/,Movie,8.0,90,1992,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",485583,1992-11-25,"Ron Clements, John Musker"
33,tt0110357,2023-03-22,2023-03-22,"The Lion King is a 1994 American animated musical drama film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 32nd Disney animated feature film and the fifth produced during the Disney Renaissance, it is inspired by William Shakespeare's Hamlet with elements from the Biblical stories of Joseph and Moses and Disney's 1942 film Bambi","The Lion King","The Lion King",https://www.imdb.com/title/tt0110357/,Movie,8.5,88,1994,"Animation, Adventure, Drama, Family, Fantasy, Musical",1199637,1994-06-24,"Roger Allers, Rob Minkoff"
34,tt0113198,2023-03-22,2023-03-22,"A Goofy Movie is a 1995 American animated musical comedy-adventure film produced by Disney MovieToons and Walt Disney Television Animation. Directed by Kevin Lima, the film is based on The Disney Afternoon television series Goof Troop","A Goofy Movie","A Goofy Movie",https://www.imdb.com/title/tt0113198/,Movie,6.9,78,1995,"Animation, Adventure, Comedy, Drama, Family, Musical, Romance",66431,1995-04-07,"Kevin Lima"
35,tt0114148,2023-03-22,2023-03-22,"Pocahontas is a 1995 American animated musical historical drama film based on the life of Powhatan woman Pocahontas and the arrival of English colonial settlers from the Virginia Company. The film romanticizes Pocahontas' encounter with John Smith and her legendary saving of his life. The film was produced by Walt Disney Feature Animation and released by Walt Disney Pictures. ","Pocahontas","Pocahontas",https://www.imdb.com/title/tt0114148/,Movie,6.7,81,1995,"Animation, Adventure, Drama, Family, Musical, Romance",210301,1995-06-23,"Mike Gabriel, Eric Goldberg"
36,tt0116583,2023-03-22,2023-03-22,"The Hunchback of Notre Dame is a 1996 American animated musical drama film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. It is loosely based on the 1831 novel of the same name by Victor Hugo. The film was directed by Gary Trousdale and Kirk Wise ","The Hunchback of Notre Dame","The Hunchback of Notre Dame",https://www.imdb.com/title/tt0116583/,Movie,7.0,91,1996,"Animation, Drama, Family, Musical, Romance",177872,1996-06-21,"Gary Trousdale, Kirk Wise"
37,tt0119282,2023-03-22,2023-03-22,"Hercules is a 1997 American animated musical fantasy comedy film produced by Walt Disney Feature Animation for Walt Disney Pictures. It is loosely based on the legendary hero Heracles (known in the film by his Roman name, Hercules), the son of Zeus, in Greek mythology. The film was directed by John Musker and Ron Clements, both of whom also produced the film with Alice Dewey Goldstone.","Hercules","Hercules",https://www.imdb.com/title/tt0119282/,Movie,7.3,93,1997,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical, Romance",267207,1997-06-27,"Ron Clements, John Musker"
38,tt0120762,2023-03-22,2023-03-22,"Mulan is a 1998 American animated musical adventure film produced by Walt Disney Feature Animation for Walt Disney Pictures. It is based on the Chinese legend of Hua Mulan, and was Disney's 36th animated feature, and the ninth animated film produced and released during the Disney Renaissance. It was directed by Barry Cook and Tony Bancroft, from a story by Robert D. San Souci ","Mulan","Mulan",https://www.imdb.com/title/tt0120762/,Movie,7.7,87,1998,"Animation, Adventure, Comedy, Family, Fantasy, Musical, War",331112,1998-06-19,"Tony Bancroft, Barry Cook"
39,tt0120855,2023-03-22,2023-03-22,"Tarzan is a 1999 American animated adventure film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 37th film produced by the studio, and the tenth and last released during the Disney Renaissance era, it is based on the 1912 story Tarzan of the Apes by Edgar Rice Burroughs, being the first animated major motion picture version of the story. The film was directed by Kevin Lima and Chris Buck","Tarzan","Tarzan",https://www.imdb.com/title/tt0120855/,Movie,7.3,88,1999,"Animation, Adventure, Comedy, Drama, Family, Music",258533,1999-06-18,"Chris Buck, Kevin Lima"
40,tt0120910,2023-03-22,2023-03-22,"Fantasia 2000 is a 1999 American animated musical anthology film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. Produced by Roy E. Disney and Donald W. Ernst, it is the 38th Disney animated feature film and sequel to 1940's Fantasia","Fantasia 2000","Fantasia 2000",https://www.imdb.com/title/tt0120910/,Movie,7.1,75,1999,"Animation, Family, Fantasy, Music",42704,2000-06-16,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt"
41,tt0130623,2023-03-22,2023-03-22,"Dinosaur is a 2000 American live-action/computer-animated adventure film produced by Walt Disney Feature Animation, The Secret Lab and released by Walt Disney Pictures.","Dinosaur","Dinosaur",https://www.imdb.com/title/tt0130623/,Movie,6.4,82,2000,"Animation, Adventure, Drama, Family, Fantasy",70068,2000-05-19,"Eric Leighton, Ralph Zondag"
42,tt0120917,2023-03-22,2023-03-22,"The Emperor's New Groove is a 2000 American animated slapstick comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 40th animated film produced by the studio, it was directed by Mark Dindal and produced by Randy Fullmer, from a screenplay by David Reynolds, and a story by Dindal and Chris Williams. ","The Emperor's New Groove","The Emperor's New Groove",https://www.imdb.com/title/tt0120917/,Movie,7.4,78,2000,"Animation, Adventure, Comedy, Family, Fantasy",236891,2000-12-15,"Mark Dindal"
43,tt0230011,2023-03-22,2023-03-22,"Atlantis: The Lost Empire is a 2001 American animated science fiction adventure film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 41st film produced by the studio, it was directed by Gary Trousdale and Kirk Wise and produced by Don Hahn from a screenplay by Tab Murphy. The film features an ensemble voice cast that includes Michael J. Fox, Cree Summer, James Garner, Leonard Nimoy, Don Novello, Phil Morris, Claudia Christian, Jacqueline Obradors, Jim Varney (in his final film role), Florence Stanley, John Mahoney, David Ogden Stiers and Corey Burton. Set in 1914, the film tells the story of young linguist Milo Thatch, who gains possession of a sacred book, which he believes will guide him and a crew of mercenaries to the lost city of Atlantis.","Atlantis: The Lost Empire","Atlantis: The Lost Empire",https://www.imdb.com/title/tt0230011/,Movie,6.9,95,2001,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",140937,2001-06-15,"Gary Trousdale, Kirk Wise"
44,tt0275847,2023-03-22,2023-03-22,"Lilo & Stitch is a 2002 American animated science fiction comedy-drama film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.","Lilo & Stitch","Lilo & Stitch",https://www.imdb.com/title/tt0275847/,Movie,7.3,85,2002,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",224119,2002-06-21,"Dean DeBlois, Chris Sanders"
45,tt0133240,2023-03-22,2023-04-06,"Treasure Planet is a 2002 American animated science fiction action-adventure film produced by Walt Disney Feature Animation and distributed by Walt Disney Pictures.  It is a science fiction adaptation of Robert Louis Stevenson's adventure novel Treasure Island (1883), and it is the third retelling of the story in an outer space setting","Treasure Planet","Treasure Planet",https://www.imdb.com/title/tt0133240/,Movie,7.2,95,2002,"Animation, Adventure, Family, Fantasy, Sci-Fi",140536,2002-11-29,"Ron Clements, John Musker"
46,tt0328880,2023-03-22,2023-03-22,"Brother Bear is a 2003 American animated musical fantasy comedy-drama film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 44th Disney animated feature film, it was directed by Aaron Blaise and Robert Walker (in their feature directorial debuts) and produced by Chuck Williams, from a screenplay written by Tab Murphy, Lorne Cameron, David Hoselton, and the writing team of Steve Bencich and Ron J. Friedman","Brother Bear","Brother Bear",https://www.imdb.com/title/tt0328880/,Movie,6.9,85,2003,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",130062,2003-11-01,"Aaron Blaise, Robert Walker"
47,tt0299172,2023-03-22,2023-03-22,"Home on the Range is a 2004 American animated Western musical comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. The 45th Disney animated feature film, it was the last traditionally animated Disney film released until The Princess and the Frog (2009)","Home on the Range","Home on the Range",https://www.imdb.com/title/tt0299172/,Movie,5.4,76,2004,"Animation, Adventure, Comedy, Family, Musical, Western",27617,2004-04-02,"Will Finn, John Sanford"
48,tt0371606,2023-03-22,2023-03-22,"Chicken Little is a 2005 American computer-animated science fiction comedy film produced by Walt Disney Feature Animation and distributed by Buena Vista Pictures Distribution","Chicken Little","Chicken Little",https://www.imdb.com/title/tt0371606/,Movie,5.7,81,2005,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",104795,2005-11-04,"Mark Dindal"
49,tt0405469,2023-03-22,2023-04-06,"The Wild is a 2006 American computer-animated adventure comedy film directed by animator Steve Spaz Williams and written by Ed Decter, John J. Strauss, Mark Gibson and Philip Halprin. It features the voices of Eddie Izzard, Kiefer Sutherland, Janeane Garofalo, Jim Belushi, Richard Kind, Greg Cipes, and William Shatner.Produced by Walt Disney Pictures, Hoytyboy Pictures, Sir Zip Studios and Contrafilm, it was animated by C.O.R.E. Feature Animation. It was released to theaters in North America on April 14, 2006, by Buena Vista Pictures and earned $102 million on an $80 million budget. It received largely negative reviews from critics, who criticized its animation style and similarities to DreamWorks Animation's Madagascar.","The Wild","The Wild",https://www.imdb.com/title/tt0405469/,Movie,5.2,82,2006,"Animation, Adventure, Comedy, Family",28644,2006-04-14,"Steve 'Spaz' Williams"
50,tt0396555,2023-03-22,2023-03-22,"Meet the Robinsons is a 2007 American computer-animated science-fiction comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.","Meet the Robinsons","Meet the Robinsons",https://www.imdb.com/title/tt0396555/,Movie,6.8,95,2007,"Animation, Adventure, Comedy, Family, Musical, Sci-Fi",116483,2007-03-30,"Stephen J. Anderson"
51,tt0397892,2023-03-22,2023-03-22,"Bolt is a 2008 American computer animated comedy-adventure film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. The 48th Disney animated feature film, it was directed by Chris Williams and Byron Howard (in their feature directorial debuts) and produced by Clark Spencer, from a screenplay written by Williams and Dan Fogelman. The film stars the voices of John Travolta, Susie Essman, Mark Walton, Miley Cyrus, Malcolm McDowell, Diedrich Bader, Nick Swardson, and Greg Germann. This was also one of the final film roles for James Lipton before his death in 2020, the other being Igor, which was released the same year as Bolt.","Bolt","Bolt",https://www.imdb.com/title/tt0397892/,Movie,6.8,96,2008,"Animation, Adventure, Comedy, Crime, Drama, Family, Sci-Fi",238376,2008-11-21,"Byron Howard, Chris Williams"
52,tt0780521,2023-03-22,2023-03-22,"The Princess and the Frog is a 2009 American animated musical fantasy romantic comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. The 49th Disney animated feature film, it is loosely based on the 2002 novel The Frog Princess by E. D. Baker, which in turn is based on the German folk tale The Frog Prince as collected by the Brothers Grimm","The Princess and the Frog","The Princess and the Frog",https://www.imdb.com/title/tt0780521/,Movie,7.2,97,2009,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",177118,2009-12-11,"Ron Clements, John Musker"
53,tt0398286,2023-03-22,2023-03-22,"Tangled is a 2010 American 3D computer-animated musical adventure fantasy comedy film[2] produced by Walt Disney Animation Studios and released by Walt Disney Pictures. Loosely based on the German fairy tale Rapunzel in the collection of folk tales published by the Brothers Grimm","Tangled","Tangled",https://www.imdb.com/title/tt0398286/,Movie,7.7,100,2010,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",519350,2010-11-24,"Nathan Greno, Byron Howard"
54,tt1305591,2023-03-22,2023-03-22,"Mars Needs Moms is a 2011 American 3D computer-animated science fiction film co-written and directed by Simon Wells, produced by ImageMovers Digital and released by Walt Disney Pictures. Based on the Berkeley Breathed book of the same title","Mars Needs Moms","Mars Needs Moms",https://www.imdb.com/title/tt1305591/,Movie,5.4,88,2011,"Animation, Adventure, Family, Fantasy, Sci-Fi",24631,2011-03-11,"Simon Wells"
55,tt1449283,2023-03-22,2023-03-22,"Winnie the Pooh is a 2011 American animated adventure film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.","Winnie the Pooh","Winnie the Pooh",https://www.imdb.com/title/tt1449283/,Movie,7.1,63,2011,"Animation, Adventure, Comedy, Family, Fantasy, Musical",29482,2011-08-29,"Stephen J. Anderson, Don Hall"
56,tt1772341,2023-03-22,2023-03-22,"Wreck-It Ralph is a 2012 American computer-animated comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.","Wreck-It Ralph","Wreck-It Ralph",https://www.imdb.com/title/tt1772341/,Movie,7.7,101,2012,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi, Sport",478492,2012-11-02,"Rich Moore"
