"","Title","in_1","in_2","in_3","in_wiki","in_wiki_clean"
"86","Tangled",TRUE,TRUE,TRUE,TRUE,TRUE
"87","Gnomeo & Juliet",FALSE,FALSE,FALSE,FALSE,TRUE
"88","Mars Needs Moms",TRUE,TRUE,TRUE,FALSE,TRUE
"89","Cars 2",TRUE,FALSE,FALSE,TRUE,TRUE
"90","Winnie the Pooh",TRUE,TRUE,TRUE,FALSE,TRUE
"91","Brave",TRUE,FALSE,FALSE,TRUE,TRUE
"92","Frankenweenie",TRUE,FALSE,TRUE,TRUE,TRUE
"93","Wreck-It Ralph",TRUE,TRUE,TRUE,TRUE,TRUE
"94","Monsters University",TRUE,FALSE,FALSE,TRUE,TRUE
"95","Planes",TRUE,FALSE,FALSE,TRUE,TRUE
"96","Frozen",TRUE,TRUE,TRUE,TRUE,TRUE
"97","Planes: Fire & Rescue",TRUE,FALSE,FALSE,TRUE,TRUE
"98","Big Hero 6",TRUE,TRUE,TRUE,TRUE,TRUE
"99","Strange Magic",FALSE,FALSE,FALSE,TRUE,TRUE
"100","Inside Out",TRUE,FALSE,FALSE,TRUE,TRUE
"101","The Good Dinosaur",TRUE,FALSE,FALSE,TRUE,TRUE
"102","Zootopia",TRUE,TRUE,TRUE,TRUE,TRUE
"103","Finding Dory",TRUE,FALSE,FALSE,TRUE,TRUE
"104","Moana",TRUE,TRUE,TRUE,TRUE,TRUE
"105","Cars 3",TRUE,FALSE,FALSE,TRUE,TRUE
"106","Coco",TRUE,FALSE,FALSE,TRUE,TRUE
"107","Incredibles 2",TRUE,FALSE,FALSE,TRUE,TRUE
"108","Ralph Breaks the Internet",TRUE,TRUE,TRUE,TRUE,TRUE
"109","Mary Poppins Returns",TRUE,FALSE,FALSE,FALSE,TRUE
"110","Toy Story 4",TRUE,FALSE,FALSE,TRUE,TRUE
"111","Frozen 2",FALSE,FALSE,FALSE,TRUE,TRUE
"112","Spies in Disguise",TRUE,FALSE,FALSE,FALSE,TRUE
"113","Onward",TRUE,FALSE,FALSE,TRUE,TRUE
"114","Raya and the Last Dragon",TRUE,TRUE,TRUE,TRUE,TRUE
"115","Ron's Gone Wrong",TRUE,FALSE,FALSE,FALSE,TRUE
"116","Encanto",TRUE,TRUE,TRUE,TRUE,TRUE
"117","The Bob's Burgers Movie",TRUE,FALSE,FALSE,TRUE,TRUE
"118","Lightyear",TRUE,FALSE,FALSE,TRUE,TRUE
"119","Strange World",TRUE,TRUE,FALSE,TRUE,TRUE
"120","Elemental",TRUE,FALSE,FALSE,TRUE,TRUE
"121","Wish",TRUE,TRUE,FALSE,TRUE,TRUE
"122","Soul‡",FALSE,FALSE,FALSE,TRUE,TRUE
"123","Turning Red‡",FALSE,FALSE,FALSE,TRUE,TRUE
"124","Luca‡",FALSE,FALSE,FALSE,TRUE,TRUE
"125","Inside Out 2",TRUE,FALSE,FALSE,FALSE,TRUE
"126","Moana 2",TRUE,TRUE,FALSE,FALSE,TRUE
"127","Mufasa: The Lion King",TRUE,FALSE,FALSE,FALSE,TRUE
"128","Fantasia[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"129","The Reluctant Dragon[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"130","Saludos Amigos[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"131","Victory Through Air Power[SD]",FALSE,FALSE,FALSE,TRUE,FALSE
"132","The Three Caballeros[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"133","Song of the South[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"134","Fun and Fancy Free[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"135","Melody Time[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"136","So Dear to My Heart[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"137","Mary Poppins[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"138","Bedknobs and Broomsticks[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"139","The Many Adventures of Winnie the Pooh[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"140","Pete's Dragon[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"141","Who Framed Roger Rabbit[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"142","James and the Giant Peach[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"143","Fantasia 2000[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"144","The Lizzie McGuire Movie[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"145","Valiant[D]",FALSE,FALSE,FALSE,TRUE,FALSE
"146","Enchanted[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"147","WALL-E[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"148","A Christmas Carol[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"149","Gnomeo & Juliet[D]",FALSE,FALSE,FALSE,TRUE,FALSE
"150","Mars Needs Moms[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"151","Winnie the Pooh[SA]",FALSE,FALSE,FALSE,TRUE,FALSE
"152","Mary Poppins Returns[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"153","The Lion King[SL]",FALSE,FALSE,FALSE,TRUE,FALSE
"154","Spies in Disguise[D]",FALSE,FALSE,FALSE,TRUE,FALSE
"155","Ron's Gone Wrong[D]",FALSE,FALSE,FALSE,TRUE,FALSE
"156","Inside Out 2[176][177]",FALSE,FALSE,FALSE,TRUE,FALSE
"157","Moana 2[182]",FALSE,FALSE,FALSE,TRUE,FALSE
"158","Mufasa: The Lion King[SL][184][185]",FALSE,FALSE,FALSE,TRUE,FALSE
"159","Tron",TRUE,FALSE,FALSE,FALSE,FALSE
"160","WALL·E",TRUE,FALSE,FALSE,FALSE,FALSE
"161","Roadside Romeo",TRUE,FALSE,TRUE,FALSE,FALSE
"162","G-Force",TRUE,FALSE,FALSE,FALSE,FALSE
"163","Arjun: The Warrior Prince",TRUE,FALSE,TRUE,FALSE,FALSE
"164","Frozen II",TRUE,TRUE,TRUE,FALSE,FALSE
"165","The Return of Jafar",TRUE,FALSE,FALSE,FALSE,FALSE
"166","Aladdin and the King of Thieves",TRUE,FALSE,FALSE,FALSE,FALSE
"167","Pooh's Grand Adventure: The Search for Christopher Robin",TRUE,FALSE,FALSE,FALSE,FALSE
"168","Beauty and the Beast: The Enchanted Christmas",TRUE,FALSE,FALSE,FALSE,FALSE
"169","Belle's Magical World",TRUE,FALSE,FALSE,FALSE,FALSE
"170","Pocahontas 2: Journey to a New World",TRUE,FALSE,FALSE,FALSE,FALSE
"171","The Lion King II: Simba's Pride",TRUE,FALSE,FALSE,FALSE,FALSE
"172","Mickey's Once Upon a Christmas",TRUE,FALSE,FALSE,FALSE,FALSE
"173","Winnie the Pooh: Seasons of Giving",TRUE,FALSE,FALSE,FALSE,FALSE
"174","An Extremely Goofy Movie",TRUE,FALSE,FALSE,FALSE,FALSE
"175","The Little Mermaid 2: Return to the Sea",TRUE,FALSE,FALSE,FALSE,FALSE
"176","Lady and the Tramp II: Scamp's Adventure",TRUE,FALSE,FALSE,FALSE,FALSE
"177","Cinderella II: Dreams Come True",TRUE,FALSE,FALSE,FALSE,FALSE
"178","The Hunchback of Notre Dame II",TRUE,FALSE,FALSE,FALSE,FALSE
"179","Winnie the Pooh: A Very Merry Pooh Year",TRUE,FALSE,FALSE,FALSE,FALSE
"180","101 Dalmatians 2: Patch's London Adventure",TRUE,FALSE,FALSE,FALSE,FALSE
"181","Atlantis: Milo's Return",TRUE,FALSE,FALSE,FALSE,FALSE
"182","The Lion King 1½",TRUE,FALSE,FALSE,FALSE,FALSE
"183","Winnie the Pooh: Springtime with Roo",TRUE,FALSE,FALSE,FALSE,FALSE
"184","Mickey, Donald, Goofy: The Three Musketeers",TRUE,FALSE,FALSE,FALSE,FALSE
"185","Mickey's Twice Upon a Christmas",TRUE,FALSE,FALSE,FALSE,FALSE
"186","Mulan II",TRUE,FALSE,FALSE,FALSE,FALSE
"187","Tarzan 2: The Legend Begins",TRUE,FALSE,FALSE,FALSE,FALSE
"188","Lilo & Stitch 2: Stitch Has a Glitch",TRUE,FALSE,FALSE,FALSE,FALSE
"189","Pooh's Heffalump Halloween Movie",TRUE,FALSE,FALSE,FALSE,FALSE
"190","Kronk's New Groove",TRUE,FALSE,FALSE,FALSE,FALSE
"191","Bambi II",TRUE,FALSE,FALSE,FALSE,FALSE
"192","Brother Bear 2",TRUE,FALSE,FALSE,FALSE,FALSE
"193","The Fox and the Hound 2",TRUE,FALSE,FALSE,FALSE,FALSE
"194","Cinderella 3: A Twist in Time",TRUE,FALSE,FALSE,FALSE,FALSE
"195","Disney Princess Enchanted Tales: Follow Your Dreams",TRUE,FALSE,FALSE,FALSE,FALSE
"196","The Little Mermaid: Ariel's Beginning",TRUE,FALSE,FALSE,FALSE,FALSE
"197","Tinker Bell",TRUE,FALSE,FALSE,FALSE,FALSE
"198","Tinker Bell and the Lost Treasure",TRUE,FALSE,FALSE,FALSE,FALSE
"199","Tinker Bell and the Great Fairy Rescue",TRUE,FALSE,FALSE,FALSE,FALSE
"200","Secret of the Wings",TRUE,FALSE,FALSE,FALSE,FALSE
"201","Tinker Bell and the Pirate Fairy",TRUE,FALSE,FALSE,FALSE,FALSE
"202","Tinker Bell and the Legend of the NeverBeast",TRUE,FALSE,FALSE,FALSE,FALSE
"203","King of the Elves",TRUE,FALSE,FALSE,FALSE,FALSE
"204","Disenchanted",TRUE,FALSE,FALSE,FALSE,FALSE
"205","Imagining Nathan",TRUE,FALSE,FALSE,FALSE,FALSE
"206","In the Land of Imagined Things",TRUE,FALSE,FALSE,FALSE,FALSE
"207","Phineas and Ferb the Movie: Candace Against the Universe",TRUE,FALSE,FALSE,FALSE,FALSE
"208","Christopher Robin",TRUE,FALSE,FALSE,FALSE,FALSE
"209","Soul",TRUE,FALSE,FALSE,FALSE,FALSE
"210","Luca",TRUE,FALSE,FALSE,FALSE,FALSE
"211","Turning Red",TRUE,FALSE,FALSE,FALSE,FALSE
"212","Elio",TRUE,FALSE,FALSE,FALSE,FALSE
"213","Diary of a Wimpy Kid",TRUE,FALSE,FALSE,FALSE,FALSE
"214","Chip 'n Dale: Rescue Rangers",TRUE,FALSE,FALSE,FALSE,FALSE
"215","Night at the Museum: Kahmunrah Rises Again",TRUE,FALSE,FALSE,FALSE,FALSE
"216","Snow White",TRUE,FALSE,FALSE,FALSE,FALSE
"217","Zootopia 2",TRUE,FALSE,FALSE,FALSE,FALSE
"218","Toy Story 5",TRUE,FALSE,FALSE,FALSE,FALSE
"219","Alice Through the Looking Glass",TRUE,FALSE,FALSE,FALSE,FALSE
"220","Maleficent",TRUE,FALSE,FALSE,FALSE,FALSE
"221","Maleficent: Mistress of Evil",TRUE,FALSE,FALSE,FALSE,FALSE
"222","Cruella",TRUE,FALSE,FALSE,FALSE,FALSE
"223","Oz the Great and Powerful",TRUE,FALSE,FALSE,FALSE,FALSE
"224","Into the Woods",TRUE,FALSE,FALSE,FALSE,FALSE
"225","The Brave Little Toaster",FALSE,TRUE,FALSE,FALSE,FALSE
